TI,authors
A Framework and Guidelines for Context-Specific Theorizing in Information Systems Research,"Weiyin Hong, Frank K. Y.  Chan, James Y. L.  Thong, Lewis C.  Chasalow, Gurpreet  Dhillon"
Joint Product Improvement by Client and Customer Support Center: The Role of Gain-Share Contracts in Coordination,"Shantanu Bhattacharya, Alok  Gupta, Sameer  Hasija"
Platform Performance Investment in the Presence of Network Externalities,"Jr.  Edward G. Anderson, Geoffrey G.  Parker, Burcu  Tan"
Economics of Free Under Perpetual Licensing: Implications for the Software Industry,"Marius F. Niculescu, D. J.  Wu"
Horizontal Allocation of Decision Rights for On-Premise Applications and Software-as-a-Service,"Till J. Winkler, Carol V.  Brown"
The Governance and Control of Open Source Software Projects,"Dany Di Tullio, D. Sandy  Staples"
A Process Model of Complementarity and Substitution of Contractual and Relational Governance in IS Outsourcing,"Thomas L. Huber, Thomas A.  Fischer, Jens  Dibbern, Rudy  Hirschheim"
Evolution of Governance: Achieving Ambidexterity in IT Outsourcing,"Lan Cao, Kanan  Mohan, Balasubramaniam  Ramesh, Sumantra  Sarkar"
The Information Artifact in IT Governance: Toward a Theory of Information Governance,"Paul P. Tallon, Ronald V.  Ramirez, James E.  Short"
Centralizing Data Management with Considerations of Uncertainty and Information-Based Flexibility,"Chander K. Velu, Stuart E.  Madnick, Marshall W.  Van Alstyne"
Effects of Different Types of Free Trials and Ratings in Sampling of Consumer Software: An Empirical Study,"Young-Jin Lee, Yong  Tan"
Integrating Biosignals into Information Systems: A NeuroIS Tool for Improving Emotion Regulation,"Philip J. Astor, Marc T. P.  Adam, Petar  Jercic, Kristina  Schaaff, Christof  Weinhardt"
Impact of Prior Reviews on the Subsequent Review Process in Reputation Systems,"Xiao (Sean) Ma, Lara  Khansa, Yun  Deng, Sung S.  Kim"
Comprehension and Assessment of Product Reviews: A Review-Product Congruity Proposition,"Liqiang Huang, Chuan-Hoo  Tan, Weiling  Ke, Kwok-Kee  Wei"
EVALUATING JOURNAL QUALITY AND THE ASSOCIATION FOR INFORMATION SYSTEMS SENIOR SCHOLARS' JOURNAL BASKET VIA BIBLIOMETRIC MEASURES: DO EXPERT JOURNAL ASSESSMENTS ADD VALUE?,"Paul Benjamin Lowry, Gregory D.  Moody, James  Gaskin, Dennis F.  Galletta, Sean L.  Humpherys, Jordan B.  Barlow, David W.  Wilson"
A LONGITUDINAL STUDY OF HERD BEHAVIOR IN THE ADOPTION AND CONTINUED USE OF TECHNOLOGY,Heshan Sun
IMPACT OF WIKIPEDIA ON MARKET INFORMATION ENVIRONMENT: EVIDENCE ON MANAGEMENT DISCLOSURE AND INVESTOR REACTION,"Sean Xin Xu, Xiaoquan (Michael)  Zhang"
TALKING ABOUT TECHNOLOGY: THE EMERGENCE OF A NEW ACTOR CATEGORY THROUGH NEW MEDIA,"Emmanuelle Vaast, Elizabeth J.  Davidson, Thomas  Mattson"
DIFFERENTIAL INFLUENCE OF BLOGS ACROSS DIFFERENT STAGES OF DECISION MAKING: THE CASE OF VENTURE CAPITALISTS,"Rohit Aggarwal, Harpreet  Singh"
CHANGES IN EMPLOYEES' JOB CHARACTERISTICS DURING AN ENTERPRISE SYSTEM IMPLEMENTATION: A LATENT GROWTH MODELING PERSPECTIVE,"Hillol Bala, Viswanath  Venkatesh"
ADDRESSING THE PERSONALIZATION-PRIVACY PARADOX: AN EMPIRICAL ASSESSMENT FROM A FIELD EXPERIMENT ON SMARTPHONE USERS,"Juliana Sutanto, Elia  Palme, Chuan-Hoo  Tan, Chee Wei  Phang"
"AN INVESTIGATION OF INFORMATION SYSTEMS USE PATTERNS: TECHNOLOGICAL EVENTS AS TRIGGERS, THE EFFECT OF TIME, AND CONSEQUENCES FOR PERFORMANCE","Ana Ortiz de Guinea, Jane  Webster"
INSIDERS' PROTECTION OF ORGANIZATIONAL INFORMATION ASSETS: DEVELOPMENT OF A SYSTEMATICS-BASED TAXONOMY AND THEORY OF DIVERSITY FOR PROTECTION-MOTIVATED BEHAVIORS,"Clay Posey, Tom L.  Roberts, Paul Benjamin  Lowry, Rebecca J.  Bennett, James F.  Courtney"
CONTROL BALANCING IN INFORMATION SYSTEMS DEVELOPMENT OFFSHORING PROJECTS,"Robert Wayne Gregory, Roman  Beck, Mark  Keil"
MEDIA SELECTION AS A STRATEGIC COMPONENT OF COMMUNICATION,"Joey F. George, John R.  Carlson, Joseph S.  Valacich"
INFERRING APP DEMAND FROM PUBLICLY AVAILABLE DATA,"Rajiv Garg, Rahul  Telang"
SENSEMAKING AND SUSTAINABLE PRACTICING: FUNCTIONAL AFFORDANCES OF INFORMATION SYSTEMS IN GREEN TRANSFORMATIONS,"Stefan Seidel, Jan  Recker, Jan  vom Brocke"
ASSESSING THE EFFECTS OF BENEFITS AND INSTITUTIONAL INFLUENCES ON THE CONTINUED USE OF ENVIRONMENTALLY MUNIFICENT BYPASS SYSTEMS IN LONG-HAUL TRUCKING,"Kent Marett, Robert F.  Otondo, G. Stephen  Taylor"
MOTIVATING ENERGY-EFFICIENT BEHAVIOR WITH GREEN IS: AN INVESTIGATION OF GOAL SETTING AND THE ROLE OF DEFAULTS,"Claire-Michelle Loock, Thorsten  Staake, Frederic  Thiesse"
Too Big to Fail: Large Samples and the p-Value Problem,"Mingfeng Lin, Jr.  Henry C.  Lucas, Galit  Shmueli"
Blunting Damocles' Sword: A Longitudinal Model of Healthcare IT Impact on Malpractice Insurance Premium and Quality of Patient Care,"Nirup M. Menon, Rajiv  Kohli"
"From Knowing It to ""Getting It"": Envisioning Practices in Computer Games Development","Joe Nandhakumar, Nikiforos S.  Panourgias, Harry  Scarbrough"
Do Recommender Systems Manipulate Consumer Preferences? A Study of Anchoring Effects,"Gediminas Adomavicius, Jesse C.  Bockstedt, Shawn P.  Curley, Jingjing  Zhang"
"Information Technology Competencies, Organizational Agility, and Firm Performance: Enabling and Facilitating Roles","Anindita Chakravarty, Rajdeep  Grewal, V.  Sambamurthy"
Product-Oriented Web Technologies and Product Returns: An Exploratory Study,"Prabuddha De, Yu (Jeffrey)  Hu, Mohammad S.  Rahman"
A Real Options Model for Generalized Meta-Staged Projects-Valuing the Migration to SOA,"Suvankar Ghosh, Xiaolin  Li"
Outsourcing Contracts and Equity Prices,"Deepa Mani, Anitesh  Barua, Andrew B.  Whinston"
Information Valuation and Confirmation Bias in Virtual Communities: Evidence from Stock Message Boards,"JaeHong Park, Prabhudev  Konana, Bin  Gu, Alok  Kumar, Rajagopal  Raghunathan"
Licensing and Competition for Services in Open Source Software,"Terrence August, Hyoduk  Shin, Tunay I.  Tunca"
A Dynamic View of the Impact of Network Structure on Technology Adoption: The Case of OSS Development,"Gang Peng, Debabrata  Dey"
The Value of Third-Party Assurance Seals in Online Retailing: An Empirical Investigation,"Koray Oezpolat, Guodong (Gordon)  Gao, Wolfgang  Jank, Siva  Viswanathan"
Continued Participation in Online Innovation Communities: Does Community Response Matter Equally for Everyone?,"Chen Zhang, Jungpil  Hahn, Prabuddha  De"
The Impact of Intellectual Property Rights Enforcement on Open Source Software Project Success,"Wen Wen, Chris  Forman, Stuart J. H.  Graham"
Business Value of Information Technology: Testing the Interaction Effect of IT and R&D on Tobin's Q,"Indranil Bardhan, Viswanathan  Krishnan, Shu  Lin"
DISCOVERING UNOBSERVED HETEROGENEITY IN STRUCTURAL EQUATION MODELS TO AVERT VALIDITY THREATS,"Jan-Michael Becker, Arun  Rai, Christian M.  Ringle, Franziska  Voelckner"
EXPLAINING EMPLOYEE JOB PERFORMANCE: THE ROLE OF ONLINE AND OFFLINE WORKPLACE COMMUNICATION NETWORKS,"Xiaojun Zhang, Viswanath  Venkatesh"
A DRAMATURGICAL MODEL OF THE PRODUCTION OF PERFORMANCE DATA,Joao Vieira da Cunha
WHEN DOES TECHNOLOGY USE ENABLE NETWORK CHANGE IN ORGANIZATIONS? A COMPARATIVE STUDY OF FEATURE USE AND SHARED AFFORDANCES,Paul M. Leonardi
INTEGRATING SERVICE QUALITY WITH SYSTEM AND INFORMATION QUALITY: AN EMPIRICAL TEST IN THE E-SERVICE CONTEXT,"Jingjun (David) Xu, Izak  Benbasat, Ronald T.  Cenfetelli"
"TECHNOLOGICAL OBJECTS, SOCIAL POSITIONS, AND THE TRANSFORMATIONAL MODEL OF SOCIAL ACTIVITY","Philip Faulkner, Jochen  Runde"
CRITICAL REALISM AND AFFORDANCES: THEORIZING IT-ASSOCIATED ORGANIZATIONAL CHANGE PROCESSES,"Olga Volkoff, Diane M.  Strong"
HOW SHOULD TECHNOLOGY-MEDIATED ORGANIZATIONAL CHANGE BE EXPLAINED? A COMPARISON OF THE CONTRIBUTIONS OF CRITICAL REALISM AND ACTIVITY THEORY,"David K. Allen, Andrew  Brown, Stan  Karanasios, Alistair  Norman"
METHODOLOGICAL IMPLICATIONS OF CRITICAL REALISM FOR MIXED-METHODS RESEARCH,"Markos Zachariadis, Susan  Scott, Michael  Barrett"
THE BROADER CONTEXT FOR ICT4D PROJECTS: A MORPHOGENETIC ANALYSIS,"James Muranga Njihia, Yasmin  Merali"
THE GENERATIVE MECHANISMS OF DIGITAL INFRASTRUCTURE EVOLUTION,"Ola Henfridsson, Bendik  Bygstad"
CAUSAL EXPLANATION IN THE COORDINATING PROCESS: A CRITICAL REALIST CASE STUDY OF FEDERATED IT GOVERNANCE STRUCTURES,"Clay K. Williams, Elena  Karahanna"
EXPLAINING BROADBAND ADOPTION IN RURAL AUSTRALIA: MODES OF REFLEXIVITY AND THE MORPHOGENETIC APPROACH,"Philip Dobson, Paul  Jackson, Denise  Gengatharen"
Firm Strategy and the Internet in US Commercial Banking,"Kim Huat Goh, Robert J.  Kauffman"
Health-Care Security Strategies for Data Protection and Regulatory Compliance,"Juhee Kwon, M. Eric  Johnson"
The Impact of Cloud Computing: Should the IT Department Be Organized as a Cost Center or a Profit Center?,"Vidyanand Choudhary, Joseph  Vithayathil"
"Channel Capabilities, Product Characteristics, and the Impacts of Mobile Channel Introduction","Youngsok Bang, Dong-Joo  Lee, Kunsoo  Han, Minha  Hwang, Jae-Hyeon  Ahn"
The Competitive Business Impact of Using Telemedicine for the Treatment of Patients with Chronic Conditions,"Balaraman Rajan, Abraham  Seidman, Earl R.  Dorsey"
Competing with Piracy: A Multichannel Sequential Search Approach,"Xianjun Geng, Young-Jin  Lee"
Network Structure and Observational Learning: Evidence from a Location-Based Social Network,"Zhan Shi, Andrew B.  Whinston"
How Do Consumer Buzz and Traffic in Social Media Marketing Predict the Value of the Firm?,"Xueming Luo, Jie  Zhang"
Consumer Learning and Time-Locked Trials of Software Products,"Debabrata Dey, Atanu  Lahiri, Dengpan  Liu"
Reducing Buyers' Uncertainty About Taste-Related Product Attributes,"Panos M. Markopoulos, Eric K.  Clemons"
An Empirical Examination of the Antecedents and Consequences of Contribution Patterns in Crowd-Funded Markets,"Gordon Burtch, Anindya  Ghose, Sunil  Wattal"
All Are Not Equal: An Examination of the Economic Returns to Different Forms of Participation in Open Source Software Communities,"Il-Horn Hann, Jeffrey A.  Roberts, Sandra A.  Slaughter"
"Networks, Social Influence, and the Choice Among Competing Innovations: Insights from Open Source Software Licenses","Param Vir Singh, Corey  Phelps"
An Empirical Analysis of Technical Efficiency: The Role of IT Intensity and Competition,"Young Bong Chang, Vijay  Gurbaxani"
Privacy Concerns and Privacy-Protective Behavior in Synchronous Online Social Interactions,"Zhenhui (Jack) Jiang, Cheng Suang  Heng, Ben C. F.  Choi"
Promotional Marketing or Word-of-Mouth? Evidence from Online Restaurant Reviews,"Xianghua Lu, Sulin  Ba, Lihua  Huang, Yue  Feng"
How Is the Mobile Internet Different? Search Costs and Local Activities,"Anindya Ghose, Avi  Goldfarb, Sang Pil  Han"
From Use to Effective Use: A Representation Theory Perspective,"Andrew Burton-Jones, Camille  Grange"
Motivational Differences Across Post-Acceptance Information System Usage Behaviors: An Investigation in the Business Intelligence Systems Context,"Xixi Li, J. J. Po-An  Hsieh, Arun  Rai"
To Personalize or Not to Personalize Online Purchase Interactions: Implications of Self-Selection by Retailers,"Sriram Thirumalai, Kingshuk K.  Sinha"
Moving from Access to Use of the Information Infrastructure: A Multilevel Sociotechnical Framework,"Pradeep Racherla, Munir  Mandviwalla"
On Risk Management with Information Flows in Business Processes,"Xue Bai, Ramayya  Krishnan, Rema  Padman, Harry Jiannan  Wang"
The Impact and Implications of On-Demand Services on Market Structure,"Pei-Yu Chen, Shin-Yi  Wu"
Ascending Combinatorial Auctions with Allocation Constraints: On Game Theoretical and Computational Properties of Generic Pricing Rules,"Ioannis Petrakis, Georg  Ziegler, Martin  Bichler"
"IT Implementation Contract Design: Analytical and Experimental Investigation of IT Value, Learning, and Contract Structure","D. J. Wu, Min  Ding, Lorin M.  Hitt"
Status Locality on the Web: Implications for Building Focused Collections,"Gautam Pant, Padmini  Srinivasan"
Interdependencies in IT Infrastructure Services: Analyzing Service Processes for Optimal Incentive Design,"Sagnika Sen, T. S.  Raghu"
A View from the Top: Integrated Information Delivery and Effective Information Use from the Senior Executive's Perspective,"William J. Kettinger, Chen  Zhang, Kuo-Chung  Chang"
A Contingency Approach to Investigating the Effects of User-System Interaction Modes of Online Decision Aids,"Weiquan Wang, Izak  Benbasat"
POSITIONING AND PRESENTING DESIGN SCIENCE RESEARCH FOR MAXIMUM IMPACT,"Shirley Gregor, Alan R.  Hevner"
THE AMBIVALENT ONTOLOGY OF DIGITAL ARTIFACTS,"Jannis Kallinikos, Aleksi  Aaltonen, Attila  Marton"
IMPACTFUL RESEARCH ON TRANSFORMATIONAL INFORMATION TECHNOLOGY: AN OPPORTUNITY TO INFORM NEW AUDIENCES,"Jr.  Henry C. Lucas, Ritu  Agarwal, Eric K.  Clemons, Omar A.  El Sawy, Bruce  Weber"
WHEN FILLING THE WAIT MAKES IT FEEL LONGER: A PARADIGM SHIFT PERSPECTIVE FOR MANAGING ONLINE DELAY,"Weiyin Hong, Traci J.  Hess, Andrew  Hardin"
COMMUNITY INTELLIGENCE AND SOCIAL MEDIA SERVICES: A RUMOR THEORETIC ANALYSIS OF TWEETS DURING SOCIAL CRISES,"Onook Oh, Manish  Agrawal, H. Raghav  Rao"
KNOWING WHAT A USER LIKES: A DESIGN SCIENCE APPROACH TO INTERFACES THAT AUTOMATICALLY ADAPT TO CULTURE,"Katharina Reinecke, Abraham  Bernstein"
THE IMPACT OF SHAPING ON KNOWLEDGE REUSE FOR ORGANIZATIONAL IMPROVEMENT WITH WIKIS,"Ann Majchrzak, Christian  Wagner, Dave  Yates"
DIGITAL BUSINESS STRATEGY: TOWARD A NEXT GENERATION OF INSIGHTS,"Anandhi Bharadwaj, Omar A.  El Sawy, Paul A.  Pavlou, N.  Venkatraman"
INFORMATION TECHNOLOGY AND BUSINESS-LEVEL STRATEGY: TOWARD AN INTEGRATED THEORETICAL PERSPECTIVE,"Paul L. Drnevich, David C.  Croson"
HOW A FIRM'S COMPETITIVE ENVIRONMENT AND DIGITAL STRATEGIC POSTURE INFLUENCE DIGITAL BUSINESS STRATEGY,"Sunil Mithas, Ali  Tafti, Will  Mitchell"
DESIGN CAPITAL AND DESIGN MOVES: THE LOGIC OF DIGITAL BUSINESS STRATEGY,"C. Jason Woodard, Narayan  Ramasubbu, F. Ted  Tschang, V.  Sambamurthy"
LEVERAGING DIGITAL TECHNOLOGIES: HOW INFORMATION QUALITY LEADS TO LOCALIZED CAPABILITIES AND CUSTOMER SERVICE PERFORMANCE,"Pankaj Setia, Viswanath  Venkatesh, Supreet  Joglekar"
CONTENT OR COMMUNITY? A DIGITAL BUSINESS STRATEGY FOR CONTENT PROVIDERS IN THE SOCIAL AGE,"Gal Oestreicher-Singer, Lior  Zalmanson"
DIGITAL BUSINESS STRATEGY AND VALUE CREATION: FRAMING THE DYNAMIC CYCLE OF CONTROL POINTS,Margherita Pagani
TRANSPARENCY STRATEGY: COMPETING WITH INFORMATION IN A DIGITAL WORLD,"Nelson Granados, Alok  Gupta"
REVEALING YOUR HAND: CAVEATS IN IMPLEMENTING DIGITAL BUSINESS STRATEGY,"Varun Grover, Rajiv  Kohli"
The Effect of Social Capital of the Relationship Between the CIO and Top Management Team on Firm Performance,"Elena Karahanna, David S.  Preston"
Sustainability of a Firm's Reputation for Information Technology Capability: The Role of Senior IT Executives,"Jee-Hae Lim, Theophanis C.  Stratopoulos, Tony S.  Wirjanto"
Information Technology and Productivity in Developed and Developing Countries,"Jason Dedrick, Keneth L.  Kraemer, Eric  Shih"
"Managing Interdependent Information Security Risks: Cyberinsurance, Managed Security Services, and Risk Pooling Arrangements","Xia Zhao, Ling  Xue, Andrew B.  Whinston"
The Drivers in the Use of Online Whistle-Blowing Reporting Systems,"Paul Benjamin Lowry, Gregory D.  Moody, Denis F.  Galletta, Anthony  Vance"
The Impact of Influence Tactics in Information System Development Projects: A Control-Loss Perspective,"Ravi Narayanaswamy, Varun  Grover, Raymond M.  Henry"
Service-Oriented Methodology for Systems Development,"Mark Keith, Haluk  Demirkan, Michael  Goul"
A Test of Two Models of Value Creation in Virtual Communities,"Constance Elise Porter, Sarv  Devaraj, Daewon  Sun"
Credibility of Anonymous Online Product Reviews: A Language Expectancy Perspective,"Matthew L. Jensen, Joshua M.  Averbeck, Zhu  Zhang, Kevin B.  Wright"
Risk Mitigation in Supply Chain Digitization: System Modularity and Information Technology Governance,"Ling Xue, Cheng  Zhang, Hong  Ling, Xia  Zhao"
The Association Between the Disclosure and the Realization of Information Security Risk Factors,"Tawei Wang, Karthik N.  Kannan, Jackie Rees  Ulmer"
Breaking the Ice in B2C Relationships: Understanding Pre-Adoption E-Commerce Attraction,"Damon E. Campbell, John D.  Wells, Joseph S.  Valacich"
Digital Divide Initiative Success in Developing Countries: A Longitudinal Field Study in a Village in India,"Viswanath Venkatesh, Tracy Ann  Sykes"
Governance of Interorganizational Information Systems: A Resource Dependence Perspective,"Dipanjan Chatterjee, T.  Ravichandran"
Ensuring Employees' IT Compliance: Carrot or Stick?,"Huigang Liang, Yajiong  Xue, Liansheng  Wu"
Contracting Information Security in the Presence of Double Moral Hazard,"Chul Ho Lee, Xianjun  Geng, Srinivasan  Raghunathan"
"The Effects of Diversity in Global, Distributed Collectives: A Study of Open Source Project Success","Sherae Daniel, Ritu  Agarwal, Katherine J.  Stewart"
The Framing Effects of Multipart Pricing on Consumer Purchasing Behavior of Customized Information Good Bundles,"Kim Huat Goh, Jesse C.  Bockstedt"
Multicommunicating: Juggling Multiple Conversations in the Workplace,"Ann-Frances Cameron, Jane  Webster"
Sequential Pricing of Multiple Products: Leveraging Revealed Preferences of Retail Customers Online and with Auto-ID Technologies,"John Aloysius, Cary  Deck, Amy  Farmer"
Efficiency with Linear Prices? A Game-Theoretical and Computational Analysis of the Combinatorial Clock Auction,"Martin Bichler, Pasha  Shabalin, Georg  Ziegler"
Pricing of Wireless Services: Service Pricing vs. Traffic Pricing,"Atanu Lahiri, Rajiv M.  Dewan, Marshall  Freimer"
Fighting Fire with Fire: Commercial Piracy and the Role of File Sharing on Copyright Protection Policy for Digital Goods,"Tunay I. Tunca, Qiong  Wu"
An Investigation of the Appropriation of Technology-Mediated Training Methods Incorporating Enactive and Collaborative Learning,"Saurabh Gupta, Robert  Bostrom"
Do Large Firms Become Smaller by Using Information Technology?,"Kun Shin Im, Varun  Grover, James T. C.  Teng"
Information Systems Success: The Quest for the Independent Variables,"Stacie Petter, William  deLone, Ephraim R.  McLean"
Effect Mechanisms of Perceptual Congruence Between Information Systems Professionals and Users on Satisfaction with Service,Alexander Benlian
Strategic Alignment and Misalignment of Knowledge Management Systems: A Social Representation Perspective,"Alina Dulipovici, Daniel  Robey"
Service Expansion of Product Firms in the Information Technology Industry: An Empirical Study,"Shu Han, Jason  Kuruzovi, T. Ravi  Chandran"
Facilitator-in-a-Box: Process Support Applications to Help Practitioners Realize the Potential of Collaboration Technology,"Robert O. Briggs, Gwendolyn L.  Kolfschoten, Gert-Jan  De Vrede, Stephan  Lukosch, Conan C.  Albrecht"
Sparking Creativity: Improving Electronic Brainstorming with Individual Cognitive Priming,"Alan R. Denis, Randall K.  Minas, Akshay P.  Bhagwatwar"
Emotions and Information Diffusion in Social Media-Sentiment of Microblogs and Sharing Behavior,"Stefan Stieglitz, Linh  Dang-Xuan"
Are Users Threatened by Credibility Assessment Systems?,"Aaron C. Elkins, Norah E.  Dunbar, Bradley  Adame, Jr.  Jay F.  Nunamaker"
