,TI,AB,AF,PY,VL,IS,DE,BP-EP,SO
849,Solving Design Problems More Effectively,"Solutions to Data processing design problems involve using a wide range of sophisticated technical tools. One way of more effectively using these tools is to further develop the human problem solving process by bringing together talented individuals and providing an atmosphere conducive to group interaction.This article investigates some of the psychological background of problem solving and group interaction, and describes a conceptual model to assist in harnessing and directing our latent creative energy.",James A. Highsmith,1978,2,4,"creative problem solving, synectics, behavioral models, brainstorming technique",23-30,MIS Quarterly
850,Sources of Influence on Beliefs about Information Technology Use:  An Empirical Study of Knowledge Workers,"Individual beliefs about technology use have been shown to have a profound impact on subsequent behaviors toward information technology (IT).  This research note builds upon and extends prior research examining factors that influence key individual beliefs about technology use.  It is argued that individuals form beliefs about their use of information technologies within a broad milieu of influences emanating from the individual, institutional, and social contexts in which they interact with IT.  We examine the simultaneous effects of these three sets of influences on beliefs about usefulness and ease of use in the context of a contemporary technology targeted at autonomous knowledge workers.  Our findings suggest that beliefs about technology use can be influenced by top management commitment to new technology and the individual factors of personal innovativeness and self-efficacy.  Surprisingly, social influences from multiple sources exhibited no significant effects.  Theoretical and practical implications are offered.","William Lewis, Ritu Agarwal, V. Sambamurthy",2003,27,4,"Technology adoption, technology beliefs, belief antecedents",657-678,MIS Quarterly
851,Special Event Data in Shared Databases,"This article presents special event data for use in database management systems, along with a case study of the collection and representation of such data for an organization.  Special event data account for structural changes and pattern interruptions in the time series data of an organization’s performance measures, and are important for the strategic management activities of evaluating management’s past actions and forecasting exogenous variables such as demand for products and services.  Most organizations do not have a practice of collecting, storing, or sharing special event data so this valuable resource is lost as employees forget the past or take new jobs.  Now that organizations are widely implementing DBMSs, it is possible and important to provide special event data.  Data in the hands of individual end user can lead to errors in interpretation and use.  Special event data, if they are included in the database, can help to alleviate this problem by sharing knowledge on shard data.",Wilpen Gorr,1986,10,3,"Data structure, information systems, database management, logical design, decision support",239-255,MIS Quarterly
852,Specifying Formative Constructs in Information Systems Research,"While researchers go to great lengths to justify and prove theoretical links between constructs, the relationship between measurement items and constructs is often ignored.  By default, the relationship between construct and item is assumed to be reflective, meaning that the measurement items are a reflection of the construct.  Many times, though, the nature of the construct is not reflective, but rather formative.  Formative constructs occur when the items describe and define the construct rather than vice versa.In this research, we examine whether formative constructs are indeed being mistaken for reflective constructs by information systems researchers.  By examining complete volumes of MIS Quarterly and Information Systems Research over the last 3 years, we discovered that a significant number of articles have indeed misspecified formative constructs.  For scientific results to be valid, we argue that researchers must properly specify formative constructs. This paper discusses the implications of different patterns of common misspecifications of formative constructs on both Type I and Type II errors.  To avoid these errors, the paper provides a roadmap to researchers to properly specify formative constructs.  We also discuss how to address formative constructs within a research model after they are specified.","Stacie Petter, Detmar Straub, Arun Rai",2007,31,4,"Formative constructs, reflective constructs, composite constructs, latent constructs, measurement models, methodology, statistical conclusion validity, Type I and Type II errors",623-656,MIS Quarterly
853,*SIM Competition Paper:*  Stabilizing an MIS,"Technical managers of MIS appear to have only two problems: 1) End user requirements continually evolve; 2) Vendor product offerings are in constant flux. In other words, everything is subject to somewhat unpredictable change from all sides at once. This is the quintessence of unmanageability. This excitement and adventure of the situation are more than offset by the excessive costs of development and maintenance which accrue to those who are trying to provide an MIS of consistently high quality.One company which performs MIS and conventional data processing services more than 400 hospitals was able to design, implement and maintain a rather complete set of functional interface standards for all software run on its central processing facility. Seven primary functional types were identified and implemented over a five year period with expenditure of more than 50 person-years of effort. User profile management and user data distribution were the two best developed and most essential standard interfaces. The diversity of client characteristics and of output media which can be handled through the interfaces has made possible an extraordinary corporate growth rate in excess of 25% per year, wit ha corresponding expansion in client base and MIS services.The management ramifications and the technological outcomes of this MIS stabilizing project are the complementary subjects of this paper.",D. H. McNeil,1979,3,4,"MIS management, standards, information systems, planning, design",31-36,MIS Quarterly
854,Standards Competition in the Presence of Digital Conversion Technology:  An Empirical Analysis of the Flash Memory Card Market,"Both theoretical and empirical evidence suggest that, in many markets with standards competition, network effects make the strong grow stronger and can “tip” the market toward a single, winner-take-all standard.  We hypothesize, however, that low cost digital conversion technologies, which facilitate easy compatibility across competing standards, may reduce the strength of these network effects.  We empirically test our hypotheses in the context of the digital flash memory card market.		We first test for the presence of network effects in this market and find that network effects, as measured here, are associated with a significant positive price premium for leading flash memory card formats.  We then find that the availability of digital converters reduces the price premium of the leading flash card formats and reduces the overall concentration in the flash memory market.  Thus, our results suggest that, in the presence of low cost conversion technologies and digital content, the probability of market dominance can be lessened to the point where multiple, otherwise incompatible, standards are viable.		Our conclusion that the presence of converters weakens network effects implies that producers of non-dominant digital goods standards benefit from the provision of conversion technology.  Our analysis thus aids managers seeking to understand the impact of converters on market outcomes, and contributes to the existing literature on network effects by providing new insights into how conversion technologies can affect pricing strategies in these increasingly important digital settings.","Charles Zhechao Liu, Chris F. Kemerer, Sandra A. Slaughter, Michael D. Smith",2012,36,3,"Network effects, network externalities, standards competition, conversion technologies, flash memory, digital goods, market competition",921-942,MIS Quarterly
855,Strategic Behavior in Online Reputation Systems:  Evidence from Revoking on eBay,"This study examines how sellers respond to changes in the design of reputation systems on eBay.  Specifically, we focus on one particular strategic behavior on eBay’s reputation system:  sellers’ explicit retaliation against negative feedback provided by buyers to coerce buyers into revoking their negative feedback.  We examine how these strategic sellers respond to removal of their ability to retaliate against buyers.  We utilize one key policy change of eBay’s reputation system, which provides a natural experimental setting that allows us to infer the causal impact of the reputation system on seller behavior.  Our results show that coercing buyers to revoke their negative feedback through retaliation enables low-quality sellers to manipulate their reputations and masquerade as high-quality sellers.  We find that these sellers reacted strongly to eBay’s announcement of a proposed ban on revoking.  Interestingly, after the power of these strategic sellers is curtailed, we find evidence that they exert more efforts to improve their reputation scores.  This study provides valuable insights about the relationship between reputation system and seller behavior, which have important implications for the design of online reputation mechanisms..5/13/14","Shun Ye, Guodong (Gordon) Gao, Siva Viswanathan",2014,38,4,"Reputation mechanisms, online ratings, quality transparency, online auctions",1033-1056,MIS Quarterly
856,Strategic Data Planning:  Lessons From the Field,"In spite of strong conceptual arguments for the value of strategic data planning as a means to increase data integration into large organizations, empirical research has found more evidence of problems than of success.  In this paper, four detailed case studies of SDP efforts, along with summaries of five previously reported efforts, are analyzed.  Fifteen specific propositions are offered, with two overall conclusions.  The first conclusion is that SDP, though conceived of as a generally appropriate method, may not be the best planning approach in all situations.  The second conclusion is that the SDP method of analyzing business functions and their data requirements may not be the best way to develop a “data architecture,” given the required level of commitment of talented individuals, the cost, the potential errors, and the high level of abstraction of the result.  These lessons can aid practitioners in deciding when to use SDP and guide them as they begin the process of rethinking and modifying the SDP to be more effective.","Dale L. Goodhue, Laurie J. Kirsch, Judith A. Quillard, Michael D. Wybo",1992,16,1,"Strategic data planning, data integration, data management, data administration",11-34,MIS Quarterly
857,Strategic Information Systems Planning Success:  An Investigation of the Construct and Its Measurement,"Strategic information systems planning (SISP) requires significant outlays of increasingly scarce human and financial resources. Yet, there exists very little understanding of how the success of this planning activity is measured. Using classical frameworks for measurement development as well as contemporary statistical techniques for assessing dimensionality, this study theoretically develops and empirically tests a measurement model of SISP success. The results suggest that SISP success can be operationalized as a second-order factor model. The first order constructs of the model are termed alignment, analysis, cooperation, and improvement in capabilities. These factors are governed by a second-order construct of SISP success. The results of the study are framed as a tool for benchmarking planning efforts as well as a foundation for operationalizing a key dependent variable in SISP research.","Albert H. Segars, Varun Grover",1998,22,2,"IS strategic planning, planning effectiveness, second-order factor modeling, structural equation modeling",139-163,MIS Quarterly
858,Strategic Information Systems Revisited:  A Study in Sustainability and Performance,"Sustainability of competitive advantage may be achieved by leveraging unique firm attributes with information technology to realize long-term performance gains.  Information systems that cannot sustain competitive impact have only transient strategic value or may offer negative value if matched by a superior response by competitors.  A research review of sustainability was conducted that resulted in the development of a framework depicting factors effecting sustainable competitive advantage.  This study evaluate longitudinal changes in performance measures of 30 firms that have been cited as “classic” cases of strategic use of information technology.  The results of this analysis indicate that not all of these classic cases can be touted as “sustained winners.”  Differences among strategic “sustainers” and “non-sustainers” were formally tested to determine those firm and/or industry factors that may be antecedents to sustained IT competitive advantage.  Results indicate that managers must do more than simply assess the uniqueness or availability of emerging technological innovations in developing strategic IT plans.  Specifically, the establishment of technological base along with substantial capital availability seem to be important prerequisites for “technologically derived” sustainability.  Recognizing the need for a stronger prescriptive orientation to strategic IS, future research is outlined in an effort to develop a comprehensive framework that would link combinations of sustainability factors to actual performance.","William J. Kettinger, Varun Grover, Subashish Guha, Albert H. Segars",1994,18,1,"Sustainability, competitive use of IS, strategic impact, organizational strategies, longitudinal study",31-58,MIS Quarterly
859,Strategic Planning for Management Information Systems,Planning for the information systems in an organization generally has not been closely related to the overall strategic planning processes through which the organization prepares for its future. An MIS strategic planning process is conceptualized and illustrated as one which links the organization’s “strategy set” to an MIS “strategy set.”,William R. King,1978,2,1,"MIS planning, MIS design and implementation",27-37,MIS Quarterly
860,"*SIM Competition Paper:*  Strategic, Tactical, and Operational Planning and Budgeting:  A Study of Decision Support System Evolution","This paper describes the evolution of a planning and budgeting decision support system. The system supports farm program planning and budgeting within the Agricultural Stabilization and Conservation Service of the US Department of Agriculture. Online interactive techniques are used through the Foresight planning and System 2000 database software. Numerous extensions of these techniques are formulated and comparisons made with industry.The study probes the nature of the system development process in a highly volatile environment, and the psychological motives of professionals involved. The forces at work are generalized to fit other environments. The results shed light on how other successful systems might be developed employing similar methods and techniques. Future extensions of this system and new scenarios are postulated and generalized in order to provide a basic framework for analysis of key decision support functions.",Richard K. Davis,1979,3,4,"decision support system, planning and budgeting, farm programs, Department of Agriculture, interactive software, online systems, database systems, management information systems",1-19,MIS Quarterly
861,Strike a Happy Medium:  The Effect of IT Knowledge on Venture Capitalists' Overconfidence in IT Investments,"In this article, the effect of IT knowledge on the overconfidence of venture capitalists (VCs) in their IT investments is examined.  Our findings show that the effect of IT knowledge on overconfidence is nonlinear.  VCs with moderate levels of IT knowledge are least overconfident.  At the same time, VCs with moderate levels of IT knowledge are most resistant to the biasing effects of past successes.  Past failures show a negative association with overconfidence independent of the level of the VC’s IT knowledge.  Finally, the negative association between stakes and VC overconfidence is stronger with greater levels of IT knowledge.  These results shed light on the highly disputed role of IT knowledge in the domain of IT investments.10/12/15","Harpreet Singh, Rohit Aggarwal, Irina Cojuharenco",2015,39,4,"  IT knowledge, overconfidence, IT startups, IT investments, venture capital",887-908,MIS Quarterly
862,Structured Systems Planning,"Information systems planning is of growing interest to many MIS practitioners.  This article postulates that one key element missing from mos literature on systems planning is the transition from a strategic plan to an executable, operational plan.  The article then desribes the application of ""structured"" tools and methodology to assist in improving this transition task.  The process and the examples explained in the article were taken from the author's experience in implementing them while at Oglethorpe Power Corporation in Atlanta, Georgia",Jim Highsmith,1981,5,3,"Systems planning, structured techniques, strategic planning, operational planning",35-54,MIS Quarterly
863,Structuring Time and Task in Electronic Brainstorming,"There are many ways in which a GSS can be used to support group brainstorming.  This paper reports the results of an experiment that manipulated task structure and time structure.  Groups electronically brainstormed on intact tasks (where all parts of the task were presented to the groups).  The time periods in which groups worked were either one 30-minut time period or three 10-minute time periods, separated by two-minute breaks.  Groups in the partitioned task treatment generated 40% more ideas, but there were no time effects.  These differences are attributed to the ability of the partitioined task to refocus members' attention more evenly across the entire solution space.","Alan R. Dennis, Jay E. Aronson, William G. Heninger, Edward D. Walker II",1999,23,1,"Groupware, group support systems, electronic brainstorming, entrainment, problem structure, time",95-108,MIS Quarterly
864,Stuck in the Conflicted Middle:  A Role-Theoretic Perspective on B2B E-Marketplaces,"Over the years, research on the implications of information technology on network governance structures has explored the “move to the market” and the “move to the middle” hypotheses.  The middle is a space in which the logic and modalities of markets and hierarchies are intermingled.  There is increasing evidence that most network relations reflect mixed-mode or hybrid logic.  Despite the apparent advantages that make the middle so populous or “swollen” (Hennart 1993, p. 472), Kambil et al. (1999) highlight that it is riddled with uncertainty and high transaction costs.  They label it “the conflicted middle” and propose that online marketplaces, specifically all-in-one markets, are capable of resolving this conflict.  Unfortunately, however, Kambil et al.  provide limited insight into both the nature of the conflict that plagues the middle and the ability of all-in-one markets to resolve it.To address these questions, this paper applies a role-theoretic perspective to the study of an e-marketplace that served the energy industry and evolved into an all-in-one market.  Relying on an interpretive case study, this paper addresses the following research questions:  (1) What is the nature of the conflict that characterizes the conflicted middle?  (2) How do e-marketplaces, specifically all-in-one markets, help resolve this conflict?  Our research highlights that brokers, trading partners, and agents who operate in the middle (where the contradictory logic of markets and hierarchies are mixed) experience goal, behavior, and identity conflict.  All-in-one markets can help resolve these conflicts by supporting role integration at the group level and role segmentation at the individual level.","Hope Koch, Ulrike Schultze",2011,35,1,"B2B e-marketplace, all-in-one markets, network governance structures, market, hierarchy, move to the middle, role theory, role conflict",123-146,MIS Quarterly
865,Studying Knowledge Management in Information Systems Research: Discourses and Theoretical Assumptions,"In information systems, most research on knowledge management assumes that knowledge has positive implications for organizations.  However, knowledge is a double-edged sword: while too little might result in expensive mistakes, too much might result in unwanted accountability.  The purpose of this paper is to highlight the lack of attention paid to the unintended consequences of managing organizational knowledge and thereby to broaden the scope of IS-based knowledge management research. To this end, this paper analyzes the IS literature on knowledge management.  Using a framework developed by Deetz (1996), research articles published between 1990 and 2000 in six IS journals are classified into one of four scientific discourses.  These discourses are the normative, the interpretive, the critical, and the dialogic.  For each of these discourses, we identify the research focus, the metaphors of knowledge, the theoretical foundations, and the implications apparent in the articles representing it.  The metaphors of knowledge that emerge from this analysis are knowledge as object, asset, mind, commodity, and discipline.  Furthermore, we present a paper that is exemplary of each discourse.  Our objective with this analysis is to raise IS researchers’ awareness of the potential and the implications of the different discourses in the study of knowledge and knowledge management.","Ulrike Schultze, Dorothy E. Leidner",2002,26,3,"Epistemology, knowledge, knowledge management",213-242,MIS Quarterly
866,Style Composition in Action Research Publication,"Examining action research publications in leading Information Systems journals as a particular genre of research communication, we develop the notion of style composition to understand how authors structure their arguments for a research contribution.  We define style composition as the activity through which authors select, emphasize, and present elements of their research to establish premises, develop inferences, and present contributions in publications.  Drawing on this general notion, we identify a set of styles that is characteristic of how IS action researchers compose their argument.  Premise styles relate to the dual goals of action research through practical or theoretical positioning of the argument; inference styles combine insights from the problem-solving and the research cycles through inductive or deductive reasoning; and contribution styles focus on different types of contributions—experience report, field study, theoretical development, problem-solving method, and research method.  Based on the considered sample, we analyze the styles adopted in selected publications and show that authors have favored certain styles while leaving others underexplored; further, we reveal important strengths and weaknesses in the composition of styles within the IS discipline. Based on these insights, we discuss how action research practices and writing can be improved, as well as how to further develop style compositions to support the publication of engaged scholarship research.","Lars Mathiassen, Mike Chiasson, Matt Germonprez",2012,36,2,"Action research, research methodology, style composition, journal publication",347-363,MIS Quarterly
867,Success of Data Resource Management in Distributed Environments:  An Empirical Investigation,"The trend toward distributed processing has significantly increased the awareness of data as a key corporate resource and underscored the importance of its management. In spite of this, there is a lack of empirical investigation of issues related to data resource management (DRM) in distributed processing environments. Being perhaps the first empirical attempt, this exploratory study identifies four information systems (IS) variables related to DRM in a distributed environment. It also seeks to examine the notion of gestalt fit to describe the nature of the relationships among these variables. In addition, the study evaluates whether internally congruent groups outperform their opposites in realizing DRM success. The results of cluster analysis support the view of gestalt fit by identifying five clusters. The results also suggest that organizations represented by a well-blended configuration of high intersite data dependence, high centralization of IS decisions, high concentration IS resources at the central site, and low DRM- related autonomy granted to local sites appear to realize a greater degree of DRM success than the other groups. The implications of the study are discussed, and further research directions are proposed.","Hemant Jain, K. Ramamurthy, Hwa-Suk Ryu, Masoud Yasai-Ardekani",1998,22,1,"Data resource management, distributed pr ocessing, distributed databases, gestalt fit, cluster analysis, autonomy, centralization, intersite data dependence",1-29,MIS Quarterly
868,Successful Development Strategies for Business Application Systems,"In a field study of thirty-two business application systems, the relationship between the time spent in various phases of the development life cycle and the outcome of the development was examined. Results indicate that systems which spent more time in the analysis phase required less time to code, resulted in greater user satisfaction, and were developed in agreement with established budgets and deadlines. These results suggest preferred strategies for the development of application systems and have implications for their successful management and control.",James D. McKeen,1983,7,3,"application system development, user satisfaction, development life cycle, implementation",47-65,MIS Quarterly
869,Support Structures and Their Impacts on Employee Outcomes:  A Longitudinal Field Study of an Enterprise System Implementation,"Despite the impressive progress in understanding the benefits and challenges related to enterprise system (ES) implementations—such as enterprise resource planning (ERP) systems—little is known about how the support structures traditionally used by organizations to help employees cope with a new ES affect employee outcomes related to the system and their jobs.  Likewise, little is known about how existing peer advice ties in the business unit influence these outcomes after an ES implementation.  Understanding employee outcomes is critical because of their ramifications for long-term ES success.  This paper examines the impacts of four traditional support structures (namely, training, online support, help desk support, and change management support), and peer advice ties on four key employee outcomes (namely, system satisfaction, job stress, job satisfaction, and job performance).  This paper also seeks to show that it is peer advice ties that best fill the complex informational needs of employees after an ES implementation by providing the right information at the right time and in the right context.  The proposed model was tested in a field study conducted in one business unit of a large telecommunications company and gathered data from 120 supplier liaisons over the course of a year.  Both traditional support structures and peer advice ties were found to influence the various outcomes, even after controlling for pre-implementation levels of the dependent variables.  In all cases, peer advice ties was the strongest predictor, thus underscoring the importance of this critical internal resource.",Tracy Ann Sykes,2015,39,2,"Enterprise systems, ES implementation, peer advice ties",437-495,MIS Quarterly
870,Supporting the Information Technology Champion,"The literature on strategic uses of information technology suggests that “champions” are often a key to successful implementation.  This article describes a field study of 15 information technology (IT) champions and their needs for support from their information systems units.  Innovation research is used to hypothesize that IT champions, like other champions, need information, technical resources, and political support from their information systems department units.   Interview findings suggest that IT champions strongly value (1) assistance in developing information to help sell their IT vision, (2) a flexible implementation process, and (3) legitimation of their ideas for using information technology.  Moreover, IT champions do not want bureaucratic process or arm’s length dealings with information systems departments.  They way a firm should conduct its dealings with an IT champion depends in large part on a number of organizational factors, including the IS department’s mission.",Cynthia Mathis Beath,1991,15,3,"Championship, IS implementation, IS development, IS management, partnership",355-372,MIS Quarterly
871,Sustainable Collaboration:  Managing Conflict and Cooperation in Interorganizational Systems,"Current interorganizational systems literature focuses on describing the role of information technology in enabling the transition from interfirm competition to cooperation. This article points out that the promise of IT-enabled cooperation, if not nurtured, can degenerate into conflict. The objective of this article is to identify possible risks of conflict in the IOS arena and to suggest strategies for minimizing the likelihood of such conflict. It does so by developing a typology for characterizing IOS along the dimension of interorganization interdependency in interfirm relationships. This typology classifies interorganizational systems into three types: pooled information resource IOS, value/supply chain IOS, and networked IOS. By examining the characteristics of these three types of IOSs the article identifies the economic, technical, and socio-political arguments for potential conflict in these systems. The identification of the risks, in turn, leads to a discussion of possible strategies for containing these risks. The article finally suggests that if the intended benefits of the collaboration are to be realized and sustained, corporate ""statesmen"" need to nurture the cooperation by anticipating these risks and managing them proactively.","Kuldeep Kumar, Han G. van Dissel",1996,20,3,"Interorganizational systems, sustainability, organizational strategies, collaborative use of IT/IS",279-300,MIS Quarterly
872,Sustaining IT Advantage:  The Role of Structural Differences,"Information systems are strategic business tools, frequently essential to a firm and central to its competitive strategy.  Their importance is now acknowledged.   But information technology—equipment and services—is available to all firms, and most applications can be duplicated.  The copying firm often enjoys the advantages of newer and better technology, learns from the experience of the innovator, and thus can offer comparable services at lower costs.  When can an information technology-based strategy confer sustainable competitive advantage?  The answer may lie with the role of strategic resources in explaining the allocation of economic benefits from an IT innovation.  Specifically, information technology can lead to sustainable competitive advantage when it is used to leverage differences in strategic resources.  This may be true even in cases where duplication is relatively easy and there are few dynamic effects, like first-mover advantages, to protect the innovation.  An important characteristic of IT is its ability to manage interactions among economic activities; the economic theory can be used to establish a link between this characteristic of IT and shifts in resource values.  This allows us to identify and examine some opportunities for deploying IT to leverage structural resource differences among firms, including differences in vertical integration and diversification as well as differences in the quality and organization of key resources.","Eric K. Clemons, Michael C. Row",1991,15,3,"Information technology, corporate strategy, management of information systems, competitive information systems, transactions cost economics, strategic resources",275-292,MIS Quarterly
873,*SIM Paper Competition:*  Sustaining Process Improvement and Innovation in the Information Services Function:  Lessons Learned at the Bose Corporation,"Orchestrating programs of organizational transformation that result in sustained process improvement represents a difficult managerial challenge. Yet, ever-changing customer requirements, electronic partnerships, and increasingly complex intraorganizational arrangements are forcing many well-established firms to transform themselves from function-based forms of organization into process-based systems of managerial, task, and evaluative arrangements. Through a program of managed transformation, the Information Services (IS) function at Bose Corporation has realized dramatic improvements in the delivery of information products/services and is now ""charting the course"" for a sustained process management view that will define and measure business relationships well into the next century. In contrast to many well-publicized programs of change, the drive toward sustained process improvement and innovation by Bose IS resembles an evolutionary model of organizational learning and information sharing rather than a revolutionary model of immediate and drastic transformation. This study describes the defining stages, key events, and obstacles of the road traveled by Bose IS in transforming itself from a corporate utility into an enterprise-wide source of process innovation and improvement.","Warren L. Harkness, William J. Kettinger, Albert H. Segars",1996,20,3,"IS service quality, process redesign, process innovation, organizational learning, change management",349-368,MIS Quarterly
874,Swift Guanxi in Online Marketplaces:  The Role of Computer-Mediated Communication Technologies,"The concept of guanxi (i.e., a close and pervasive interpersonal relationship) has received little attention in the literature on online marketplaces, perhaps due to their impersonal nature.  However, we propose that computer-mediated communication (CMC) technologies can mimic traditional interactive face-to-face communications, thus enabling a form of guanxi in online marketplaces.  Extending the literature on traditional guanxi, we herein introduce the concept of swift guanxi, conceptualized as the buyer’s perception of a swiftly formed interpersonal relationship with a seller, which consists of mutual understanding, reciprocal favors, and relationship harmony.Integrating theories of CMC and guanxi, we develop a model that explains how a set of CMC tools (i.e., instant messaging, message box, feedback system) facilitate repeat transactions with sellers by building swift guanxi and trust through interactivity and presence (social presence and telepresence) with sellers.  Longitudinal data from 338 buyers in TaoBao, China’s leading online marketplace, support our structural model, showing that the buyers’ effective use of CMC tools enable swift guanxi and trust by enhancing the buyers’ perceptions of interactivity and presence.  In turn, swift guanxi and trust predict buyers’ repurchase intentions and their actual repurchases from sellers.  We discuss the implications of swift guanxi in online marketplaces with the aid of CMC technologies.5/20/13","Carol Xiaojuan Ou, Paul A. Pavlou, Robert M. Davison",2014,38,1,"Guanxi, swift guanxi, computer-mediated communication (CMC) technologies, media synchronicity theory (MST), computer-mediated communication interactivity model (CMCIM), instant messenger (IM), online marketplaces, interactivity, presence, trust",209-230,MIS Quarterly
875,System Development Methods -- A Comparative Investigation,"This article presents a retrospective comparative study of the use of the system development life cycle (SDLC) and prototyping methods to help select a development approach for a given information systems (IS) project.  The respondents were asked (a) to decide independently whether one of their recent IS projects was developed using either the SDLC or prototyping approach and if so, (b) to evaluate the merit of that approach in terms of ease of project management, project requirements, project characteristics, impact on decision making, and user and designer satisfaction.  The results indicate:1.  Design methods cannot be considered apart from project, environment and decision characteristics.2.  A clear cut preference of one method over the other could not be established.  Each method performed better in some areas than in others.3.  A framework that can be used by a project director for selecting a design method to develop a system could be postulated.",Mo A. Mahmood,1987,11,3,"System design methods, project management, project requirement, user satisfaction",293-311,MIS Quarterly
876,System Development Quality Control,This article represents some general ideas on how various aspects of the systems development life cycle might be measured as one means of assessing and controlling the quality of a system. We feel that this is a fruitful area for research within potentially important industrial and research implications. We strongly urge further research and investigation into systems development quality control based on the framework established in this article.,"Dennis Halloran, Susan Manchester, John Moriarty, Robert Riley, James Rohrman, Thomas Skramstad",1978,2,4,"project management, measurement, quality, documentation, maintenance, metrics, reliability, resources, independence, portability, training, flexibility, operations, recovery, security",1-13,MIS Quarterly
877,System Life Expectancy and the Maintenance Effort: Exploring Their Equilibration,"Aging information systems are expensive to maintain and most are eventually retired and replaced. But what determines (in the choices made by managers) whether and when a system reaches end-of-life? What shapes managers’ judgements about a system’s remaining life expectancy and do these judgments influence the maintenance effort itself? System maintenance and prospective replacement are examined here in new terms, positing that managers “equilibrate” (balance) their allocation of maintenance effort with their expectations of a system’s remaining life. Drawing from data on 758 systems among 54 organizations, support is found for an exploratory structural equation model in which the relationship between maintenance effort and remaining life expectancy is newly explained. A “portfolio effect,” reflecting a system’s familial complexity, is also found to be directly and positively related to the maintenance effort. A further finding is that a system’s size is directly and positively associated with its remaining life expectancy. Notwithstanding normative research suggesting the contrary, larger systems may tend to be longer-lived than smaller systems. Practically, the suggestion is made that better documented and monitored portfolios, together with regular, periodic performance assessments, can lead to better management of systems’ life cycles.","E. Burton Swanson, Enrique Dans",2000,24,2,"Maintenance effort, life expectancy, systems replacement, familial complexity, structural equation modeling",277-297,MIS Quarterly
878,Systems Analysis and Design:  Current Practices,The process to develop computer-based information systems has changed significantly within the last ten years.  Research was conducted to determine how organizations currently perform systems analysis and design.  Responding organizations provided evaluations of their current approaches and tools.  The results should provide insights for information systems practitioners and have implications for educational efforts and research in the information systems field.,"Charles R. Necco, Carl L. Gordon, Nancy W. Tsai",1987,11,4,"Systems development methods, systems development life cycle, traditional/classical approach, structured methods, automated tools, prototyping, information centers",461-476,MIS Quarterly
879,Tailoring Database Training for End Users,Lack of familiarity with database design methods could prevent many end users from effectively implementing their database management system packages.  An inexpensive solution would be for end users to learn required database design skills from software tutors tailored to their needs.  This research describes two tutors developed to teach these skills to end users.  The tutors were based on a modified Entity-Relationship database design method.  They improved an end user’s natural learning process by incorporating design principles and facilitators.  Empirical comparison of the tutors tested the teaching effectiveness of the facilitators.  The results lead to recommendations for closing the gap between skills required and skills learned by end users in database design.  Development of tutors that teach specific database design skills irrespective of the software package used in implementation has important implications for practitioners and researchers.,"Judith A. Ahrens, Chetan S. Sankar",1993,17,4,"End-user training, software tutors, cognitive skill acquisition, database design",419-439,MIS Quarterly
880,Take Their Word for It:  The Symbolic Role of Linguistic Style Matches in User Communities,"User communities are increasingly becoming an essential element of companies’ business processes.  However, reaping the benefits of such social systems does not always prove effective, often because companies fail to stimulate members’ collaboration continuously or neglect their social integration.  Following communication accommodation theory, the authors posit that members’ communication style alignment symbolically reflects their community identification and affects subsequent participation behavior.  This research uses text mining to extract the linguistic style properties of 74,246 members’ posts across 37 user communities.  Two mixed multilevel Poisson regression models show that when members’ linguistic style matches with the conventional community style, it signals their community identification and affects their participation quantity and quality. Drawing on an expanded view of organizational identification, the authors consider dynamics in members’ social identification by examining trends and reversals in linguistic style match developments.  Whereas a stronger trend of alignment leads to greater participation quantity and quality, frequent reversals suggest lower participation quantity.  At a community level, greater synchronicity in the linguistic style across all community members fosters individual members’ participation behavior.6/25/14","Stephan Ludwig, Ko de Ruyter, Dominik Mahr, Martin Wetzels, Elisabeth Brüggen, Tom de Ruyck",2014,38,4,"Linguistic style match (LSM), user communities, text mining, organizational identification, argument development quality",1201-1217,MIS Quarterly
881,Taking Industry Seriously in Information Systems Research,"In this essay, we argue that industry receives little attention in information systems research and theory, despite its increasingly important influence on IS activities.  This is evident both in the narrow range of industries examined in IS research and the infrequent consideration of industry in theory.  We base these observations on an analysis of IS publications in two top-tier journals (MIS Quarterly and Information Systems Research) over eight years.  Drawing from institutional theory, we consider various ways industry can be addressed and assess how industry influences IS activities.  We conclude that industry provides an important contextual “space” to build new IS theory and to evaluate the boundaries of existing IS theory.  We outline a range of strategies for incorporating industry into IS research.","Mike W. Chiasson, Elizabeth Davidson",2005,29,4,"Information systems theory, institutional theory, industry context",591-605,MIS Quarterly
