,AF,TI,DE,AB,SO,VL,PY,IS,BP,EP
961, Lesley R. Matheson;  Robert E. Tarjan,Culturally Induced Information Impactedness: A Prescription for Failure in Software Ventures, digital watermarking;  information sharing;  software development;  software products,"The impact of effective information flow in software ventures is analyzed through a recent case in which a hot, lucrative technology was lost on its way to the marketplace. The failure occurred despite the fact that the venture had many components crucial to success, including a proprietary intellectual property position, enormous market demand, a well-qualified, committed team, and sufficient funding. One reason for this failure is the lack of information flows among several parties critical to the success of the venture. This case suggests that in software markets that operate at breakneck pace and have short development cycles, effective information flow is a first-order priority. These blockages in information flows can stem from the nature of the cultures that are created to produce software ideas, especially proprietary technologies. The case also suggests that information can be affected by the clash between U.S. software market characteristics and Japanese business culture. Fortunately, there are inexpensive solutions that can substantially improve the return on investment, especially foreign investment, in new software technologies.",Journal of Management Information Systems,15,1998,2,23,39
962, Scott C. McIntyre;  Lexis F. Higgins,Object-oriented Systems Analysis and Design: Methodology and Application, object-oriented systems;  systems analysis;  system design,This paper presents the results of research into applying an object-oriented approach to systems analysis and design. Characteristics of object-oriented model building are briefly reviewed. A methodology is described which aids development of system modeling and simulation as the analysis and design process proceeds. The paper also describes the advantages of modeling analysis tools as objects which are integrated into the environment being analyzed. These principles are demonstrated by an object-oriented systems analysis and design recently conducted by the authors.,Journal of Management Information Systems,5,1988,1,25,35
963, Scott C. McIntyre;  Benn R. Konsynski;  Jay F. Nunamaker,Automating Planning Environments: Knowledge Integration and Model Scripting, information systems planning;  automated planning;  knowledge bases;  semantic nets;  model scripting,"Progress has been limited in understanding the nature of Information Systems (IS) planning and accomplishing its goals. Two problems which contribute fundamentally are the dynamism of IS and the difficulty of integrating multiple perspectives on IS planning. Automated environments which support the IS planning process must address these two issues, dynamism and integration. In this paper, three perspectives on the IS planning process are reviewed. Knowledge-based techniques using Semantic Inheritance Nets are described as useful for view integration and for providing a flexible, dynamic, automated model of the IS planning environment which is accessible to is tools. The use of scripting in IS planning models is examined as a way to address the issue of IS dynamism. Implementation of these techniques is described in PLEXPLAN, a knowledge-based environment for IS planning. Application of knowledge integration and model scripting in an instance of PLEXPLAN use is described.",Journal of Management Information Systems,2,1986,4,49,69
964, James D. McKeen;  Tor Guimaraes,Successful Strategies for User Participation in Systems Development, participative behaviors;  system complexity;  system development;  task complexity;  user participation;  user satisfaction,"Past MIS research has indicated a mixed relationship between user participation and user satisfaction with system development projects, suggesting that user participation is not equally effective in all situations. This has led researchers to investigate the contexts within which user participation can be used to improve user satisfaction. This study builds on this past body of research by examining the relationship between specific user participative behaviors and user satisfaction in different contextual situations in order to identify the most successful participative behaviors. To do this, data were collected from 151 independent system development projects in eight different organizations. The context of development was described by two factors--task complexity and system complexity. As suggested in the literature, the combination of these two contextual factors determine the need for user participation. The relationship between specific participative behaviors and user satisfaction was then examined where the need for participation was high and those results were compared with situations with a lower need for participation. Not all participative behaviors were equally effective in all situations. Depending on the level of task complexity and system complexity, some user participative behaviors resulted in improved user satisfaction, while others had no relationship with satisfaction. The results add to earlier studies by identifying those specific user participative behaviors most beneficial under different contexts. The implications apply to both practitioners involved in the development of systems and academicians seeking to explain where and how user participation should be used. Strategies based on the results are suggested for the most appropriate involvement for users during system development.",Journal of Management Information Systems,14,1997,2,133,150
965, Henri Barki;  Suzanne Rivard;  Jean Talbot,An Integrative Contingency Model of Software Project Risk Management, contingency models;  software project management;  software project risk,"Drawing both from the IS literature on software project risk management and the contingency research in Organization Theory literature, the present study develops an integrative contingency model of software project risk management. Adopting a profile deviation perspective of fit, the outcome of a software development project (Performance) is hypothesized to be influenced by the fit between the project's risk (Risk Exposure) and how project risk is managed (Risk Management Profile). The research model was tested with longitudinal data obtained from project leaders and key users of 75 software projects. The results support the contingency model proposed and suggest that in order to increase project performance a project's risk management profile needs to vary according to the project's risk exposure. Specifically, high-risk projects were found to call for high information processing capacity approaches in their management. However, the most appropriate management approach was found to depend on the performance criterion used. When meeting project budgets was the performance criterion, successful high-risk projects had high levels of internal integration, as well as high levels of formal planning. When system quality was the performance criterion, successful high-risk projects had high levels of user participation.",Journal of Management Information Systems,17,2001,4,37,69
966, Ephraim R. McLean;  Leon A. Kappelman,The Convergence of Organizational and End-User Computing, end-user computing;  management of information systems,"Given the growing prominence of end-user computing (EUC), a survey was conducted among the senior information systems executives, from a broad-based cross-section of consumer-goods manufacturing firms, on the patterns of computing within their companies. The results indicated (1) that the definition of end-user computing is expanding considerably within their organizations; (2) that this expansion is blurring the distinction between end-user computing and traditional information systems: and (3) that these developments are, on the whole, successful and are likely to be even, more so in the future. These findings suggest the need for a closer working relationship between information systems professionals and end users, building what might be called a ""partnership for success.""",Journal of Management Information Systems,9,1992,3,145,115
967, Raymond McLeod,The Undergraduate MIS Course in A.A.C.S.B. Schools, undergraduate MIS core course;  MIS education,"A mail survey was conducted of 145 A.A.C.S.B. schools. Responses were received from 113 schools with undergraduate programs indicating that 62 offer an MIS core course. Information provided by the professors sheds light on the prerequisites, topics, experiential approaches, perceived success factors, and anticipated trends. At present the course has a systems analysis emphasis. In the future the material will be more related to small-scale computers and will increasingly be integrated into the curricula of the business disciplines.",Journal of Management Information Systems,2,1985,2,73,85
968, Raymond McLeod;  John C. Rogers,Marketing Information Systems: Their Current Status in Fortune 1000 Companies, marketing information systems;  data sources;  database;  management level;  management function;  marketing mix,"A mail survey of Fortune 1000 firms reveals considerable variation in the designs of their marketing information systems, yet a uniformly high level of sophistication in regards to use of interactive systems and decision modeling. Many of the data-gathering and storage components of these systems are not computerized. The best decision support is at the upper and middle management level for planning and controlling the firm's product offering. This top-level support indicates that the user possibly has a greater influence on system implementation than does problem structure.",Journal of Management Information Systems,1,1985,4,57,75
969, Poppy L. McLeod,Are Human-Factors People Really So Different?: Comparisons of Interpersonal Behavior and Implications for Design Teams, human factors;  individual differences;  MIS professionals,"This study examined differences between human-factors and machine-factors computer professionals in self-reports of their interpersonal behaviors. Three hundred and eleven computer professionals completed an instrument describing their jobs and three categories of their interpersonal behaviorâ€”Dominance, Friendliness, and Task versus Socio-Emotional. Human-factors professionals described their ideal and actual behavior as more dominant than that of other computer professionals. No differences were found for the other two behavior dimensions. Human-factors professionals on the average were more involved with research while machine-oriented professionals were more involved with product development. The findings are discussed with respect to their importance for computer system design teams. It is suggested that interpersonal factors may affect the utilization of human-factors experts.",Journal of Management Information Systems,9,1992,1,113,132
970, Mark E. McMurtrey;  Varun Grover;  James T. C. Teng;  Nancy J. Lightner,Job Satisfaction of Information Technology Workers: The Impact of Career Orientation and Task Automation in a CASE Environment, career orientations;  CASE;  information systems development;  information technology workers;  job satisfaction,"This study investigates the job satisfaction of information technology (IT) professionals in an environment where computer aided software engineering (CASE) tools are used. Although the recent downturn in the economy might have temporarily eased the IT labor shortage, issues of recruitment and retention of qualified personnel are key to the success of IS development projects. This study presents a model of the combination of CASE tool usage and job satisfaction as related to internal career orientation. Two hypotheses based on this model were tested using empirical evidence collected through a survey method. The first examines whether the career orientation of IS personnel influences their job satisfaction. The second incorporates the impact of CASE tool usage on this relationship. The results indicate that in a CASE tool environment, personnel with a predominant technical career orientation have more job satisfaction than those with a predominant managerial orientation. However, there is a significant and positive synergy between the sophistication of the CASE tool used and managerial competence orientation leading to higher job satisfaction. These findings indicate that combating the IT personnel shortage through task automation may also increase worker satisfaction, thereby decreasing turnover. Careful selection of the CASE tool for use may result in this win-win situation.",Journal of Management Information Systems,19,2002,2,273,302
971, Roberto J. Mejias;  Morgan M. Shepherd;  Douglas R. Vogel;  Litva Lazaneo,Consensus and Perceived Satisfaction Levels: A Cross-Cultural Comparison of GSS and Non-GSS Outcomes within and between the United States and Mexico, consensus in group support systems;  cross-cultural use of group support systems;  group support systems,"Few studies of group support systems (GSS) have considered cultural dimensions in their analysis of GSS applications, and even fewer have used empirical data to test their hypotheses. This cross-cultural field study was an exploratory investigation of the effects of ""national culture"" (U.S. and Mexican) upon group consensus levels and perceptions of participation equity and satisfaction within GSS environments and non-GSS (manual) environments. Within both the U.S. and Mexican cultures, results indicate no significant differences in consensus levels between GSS and manual treatments. However, both U.S and Mexican groups generated significantly greater relative changes in consensus levels using GSS technology versus manual technology. Comparison between cultures shows that Mexican groups generated higher levels of consensus than U.S. groups with main effects due to culture and experimental treatment (i.e., GSS support). While U.S. group participants reported no differences in satisfaction among experimental treatments, Mexican participants reported higher satisfaction levels using GSS-supported environments. In a similar pattern, U.S. participants reported no differences in perceived participation equity between treatments, while Mexican GSS participants reported higher participation equity than Mexican manual participants. A comparison study between cultures found that Mexican participants across all treatments perceived higher levels of satisfaction and participation equity than U.S. participants with main effects due to culture.",Journal of Management Information Systems,13,1996,3,137,161
972, Kiang Melody Yihwa;  Robert T. Chi;  Tam Kar Yan,DKAS: A Distributed Knowledge Acquisition System in a DSS, decision support systems;  deductive learning;  distributed knowledge acquisition system;  inductive learning;  portfolio management,"Knowledge acquisition is the process of accumulating new information and relating it to what is already known. Knowledge acquisition has been regarded as the bottleneck in knowledge-based systems development. In this paper, a distributed knowledge acquisition system (DKAS) is introduced for automating decision rules construction from a set of examples in a decision support system. DKAS has the potential to include various learning mechanisms and employs a multi-agent and parallel processing paradigm. The implementation of a DKAS integrates inductive and deductive learning methods that use different learning strategies. A stock selection problem is used to demonstrate the effectiveness of DKAS in solving classification type problems. The performance of the DKAS in portfolio management is compared to the performance of the NYSE and the S&P; 500. The results indicate that the rules derived from using the DKAS outperform both the NYSE and the S&P; 500.",Journal of Management Information Systems,9,1993,4,59,82
973, Brian E. Mennecke;  Joseph S. Valacich,"Information Is What You Make of It: The Influence of Group History and Computer Support on Information Sharing, Decision Quality, and Member Perceptions", decision-group history;  group cohesion;  group support systems;  information sharing,"Researchers have proposed that the contradictions observed between past group support system (GSS) laboratory and field research may be partially accounted for by the ad-hoc nature of the groups that are often used in the laboratory. To examine this, a laboratory experiment examining the influence of group history (i.e., established versus ad-hoc groups) and the level of computer support (i.e., communicating via a computer-mediated system versus face-to-face) was conducted. Dependent variables examined in the research include information-sharing performance, decision quality, and member perceptions. Subjects completed a hidden profile task--a task where some information is held by all group members prior to the meeting, while other information is held only by a subset of the group. As expected, established groups discussed less unique information than ad-hoc groups. In addition, information sharing was positively related to the quality of group decisions. Members of established groups were more satisfied than members of ad-hoc groups; members using the computer-mediated system were less satisfied than those communicating face-to-face. In addition, group cohesion was positively related to satisfaction and decision quality. The results are discussed in the context of prior theory and research. Opportunities for future research are also described.",Journal of Management Information Systems,15,1998,2,173,197
974, Nirup M. Menon;  Ulku Yaylacicegi;  Asunur Cezar,Differential Effects of the Two Types of Information Systems: A Hospital-Based Study, health-care informatics;  information technology productivity;  value-chain model,"A new empirical model for the production function of the hospital incorporating two types of information systems (IS) is developed. One type of IS is representative of information technology (IT) used in primary, clinical, value-chain activities, and the other is representative of the IT used in support (administrative) value-chain activities. The model innovation is that it accommodates up to a seven-year lag for each type of IS. The output variables for the production function are hospital output and medical labor productivity. Using data spanning from 1979 to 2006 from several hospitals, it was found that clinical IS improve hospital output in the short run (of two years). Administrative IS were found to be negatively associated with organizational performance in the short run, but positively associated with these performance measures over the long run (over four years). These results highlight the importance of timing IT investments and the sequencing chosen for the implementation of IS presenting various value-chain activities, and the resulting pattern of business value over time. Differential lag length of the types of IS is to be considered in estimating the rate of return of new IT projects.",Journal of Management Information Systems,26,2009,1,297,316
975, Robert P. Minch,Application and Research Areas for Hypertext in Decision Support Systems, hypertext;  decision support systems;  user interface,"Review of decision support system (DSS) research and applications frameworks and literature review of hypertext research reveals many areas where further work may make a valuable contribution in the application of hypertext technology to DSS. These areas are discussed as they relate to user characteristics, decision and problem characteristics, situational and organizational factors, and technological factors. Some research topics that appear to be worthy of further investigation include hypertext's support of the human brain's hemispheric specialization, its isomorphism with generalized problem-solving paradigms such as the state-space approach, its potential to support collaborative work and group DSS, and many technological issues related to the appropriate content, structure, and representation of hypertext networks. In addition, hypertext may be used as a DSS research vehicle to simulate and study various user interface techniques and as a process tracing laboratory. Hypertext offers a great deal of promise as a powerful component of future DSS environments.",Journal of Management Information Systems,6,1989,3,119,138
977, Fan Ming;  Subodha Kumar;  Andrew B. Whinston,Selling or Advertising: Strategies for Providing Digital Media Online, advertising;  digital media;  distribution strategies;  information goods pricing;  online channels;  pricing,"Media and network companies are increasingly providing digital media online. We develop a model to examine optimal strategies for media providers to utilize the online channel to distribute digital media. We examine a number of options for media providers. Our results suggest that media companies should sell programs online when content quality is relative high and online access cost is low. When online access cost is relative high, media providers could use the advertising strategy. Overall, companies are better off providing both pricing and advertising options to consumers. We derive the optimal price and advertising level, and analyze the factors that affect the price and advertising decisions. We find that as advertisement revenue rate increases, advertising level should be kept low. In addition, media companies should set online price and advertising level with consideration of the traditional channel in order to avoid channel cannibalization. We also analyze the advertising level in the traditional channel. Our results suggest that as digital video recorder technologies provide more convenience to consumers, media companies should increase, rather than decrease, revenues from advertising.",Journal of Management Information Systems,24,2007,3,143,166
978, Huang Ming-Hui;  Eric T. G. Wang;  Abraham Seidmann,Price Mechanism for Knowledge Transfer: An Integrative Theory, knowledge market;  knowledge pricing;  knowledge transfer;  mental accounting;  multinomial logit model;  ordered logit model;  transaction decoupling,"Knowledge transferred in the open market via a price mechanism enjoys the benefits of avoiding internal competition, learning from external competitors, and accumulating diversified knowledge. In the market, users can access a repository of knowledge for a single price (repository pricing) or knowledge items in the repository can be sold individually (knowledge pricing). However, users have been found to prefer repository pricing but not the knowledge in the repository. This irrationality can cause market failure because users derive a suboptimal level of utility from the knowledge repository, and vendors have contradictory pricing and knowledge strategies. We empirically examine a joint explanation from two competing theoretical perspectives that accounts for this inconsistency nicely: The mental accounting perspective endorses repository pricing because it entices users with the benefits of the whole repository, whereas the transaction decoupling perspective finds expression in individually priced knowledge because it prevents the discrete benefit of knowledge from becoming obscure. By integrating the two theoretical perspectives and considering price, knowledge, and user characteristics simultaneously, the results offer important implications for the market transfer of knowledge. Repository pricing attracts users and is essential to initiate the transfer process, whereas knowledge pricing generates knowledge preference and is thus an effective approach for learning.",Journal of Management Information Systems,24,2007,3,79,108
979, Shaila M. Miranda;  Robert P. Bostrom,The Impact of Group Support Systems on Group Conflict and Conflict Management, conflict;  conflict management;  group decision support systems;  group support systems,"This article proposes a model for examining the impacts of group support systems (GSS) on conflict and conflict management, based on literature on GSS, group conflict, and structuration theory. It reports on a study of the impacts of GSS use on group conflict and conflict management. A total of 25 groups participated in the study. After an initial training session, groups met for four decision-making sessions requiring a consensus decision from each group. Subjects reported their perceptions on group conflict, conflict management strategies used, and the productivity of conflict, using scales developed for this study. Overall, GSS-supported groups perceived lower amounts of issue-based and interpersonal conflict than did control groups. There were no significant differences for reported use of conflict management strategies and perceived productivity of conflict. The authors explore possible reasons for these results and propose future research issues related to conflict and conflict management within a GSS environment.",Journal of Management Information Systems,10,1993,3,63,95
980, Shaila M. Miranda;  Robert P. Bostrom,Meeting Facilitation: Process Versus Content Interventions, group meeting systems;  group support systems;  meeting facilitation,"This article examines the impacts of two types of meeting facilitation that occur in traditional and GSS environments: process and content facilitation. Based on existing facilitation, leadership, and GSS research, and structuration theory, the authors articulate hypotheses regarding the impact of GSS use and each type of meeting facilitation on meeting processes and of meeting processes on outcomes. Meeting processes examined in this study included relationship development, participation, issue-based conflict, interpersonal conflict, and negative socioemotional conflict. Outcomes explored were the groups' satisfaction with the decision made and with their meeting process, and the quality of the groups' decision products. Empirical investigation provides the following findings: Process facilitation had a positive impact on meeting processes. Content facilitation had a negative impact on meeting processes. The interaction between GSS use and both process and content facilitation had no significant effect on meeting processes. Meeting processes had a strong positive impact on satisfaction, but no impact on product quality. Implications for meeting facilitation are discussed and future research directions proposed.",Journal of Management Information Systems,15,1999,4,89,114
981, Rajesh Mirani;  William R. King,Impacts of End-User and Information Center Characteristics on End-User Computing Support, end-user computing;  information center;  user-developed applications;  user satisfaction,"In a cross-sectional survey of 114 information centers, it was found that support needed by end-users varied with their computing sophistication and the maturity of the information center. However, information centers did not take into account differences among users in designing support services, and provided all users with the same amount of support. For most users, the support provided was far less than the support needed, but end-user satisfaction was higher when more support needs were fulfilled. The implication of these results is that information centers are not making the requisite effort to identify and fulfill the support needs of their end-users.",Journal of Management Information Systems,11,1994,1,141,166
982, Sunil Mithas;  Narayan Ramasubbu;  M. S. Krishnan;  Claes Fornell,Designing Web Sites for Customer Loyalty Across Business Domains: A Multilevel Analysis, business value of information technology;  customer loyalty;  customer relationships;  customer satisfaction;  e-commerce;  hierarchical linear modeling;  Web site content;  word of mouth,"Web sites are important components of Internet strategy for organizations. This paper develops a theoretical model for understanding the effect of Web site design elements on customer loyalty to a Web site. We show the relevance of the business domain of a Web site to gain a contextual understanding of relative importance of Web site design elements. We use a hierarchical linear modeling approach to model multilevel and cross-level interactions that have not been explicitly considered in previous research. By analyzing data on more than 12,000 online customer surveys for 43 Web sites in several business domains, we find that the relative importance of different Web site features (e.g., content, functionality) in affecting customer loyalty to a Web site varies depending on the Web site's domain. For example, we find that the relationship between Web site content and customer loyalty is stronger for information-oriented Web sites than for transaction-oriented Web sites. However, the relationship between functionality and customer loyalty is stronger for transaction-oriented Web sites than for information-oriented Web sites. We also find that government Web sites enjoy greater word-of-mouth effect than commercial Web sites. Finally, transaction-oriented Web sites tend to score higher on mean customer loyalty than do information-oriented Web sites.",Journal of Management Information Systems,23,2006,3,97,127
983, Sabyasachi Mitra,Information Technology as an Enabler of Growth in Firms: An Empirical Assessment, business value of information technology;  firm growth;  free cash flow;  Tobin’s q,"This research provides empirical evidence of the role of information technology (IT) as an enabler of growth in firms. We postulate that as a firm grows larger, a superior IT infrastructure increases the productivity of other inputs by controlling the complexity-related costs that the firm incurs as it increases in size. In the empirical analysis to support this view, we find that firms with high-growth expectations increase their IT spending as their free cash flow increases, whereas low-growth firms maintain a constant level of IT spending, irrespective of their free cash flow. Further, we analyze the effect of IT investments in one period on growth-related metrics in subsequent periods. We find that a superior IT infrastructure significantly reduces the cost of operations for high-growth firms in subsequent periods. In summary, the theory and empirical evidence presented in this paper point to an indirect but important contribution of the IT infrastructure to a firm's growth.",Journal of Management Information Systems,22,2005,2,279,300
984, Sabyasachi Mitra;  Antoine Karim Chayam,Analyzing Cost-Effectiveness of Organizations: The Impact of Information Technology Spending, business value of information technology;  impact of information technology;  information technology investment;  information technology payoff,"The performance impacts of information technology (IT) investments in organizations have received considerable attention in recent years. In this research, we investigate the cost factors that are affected by such investments. We analyze a data set containing the information technology budgets of over 400 large and medium-sized U.S. corporations. We find that higher IT investments are associated with lower average production costs, lower average total costs, and higher average overhead costs. We also find that larger companies spend more on information technology as a percentage of their revenues than smaller companies. We do not find any evidence that information technology reduces labor costs in organizations. We explain our findings, which are often counterintuitive but interesting, using basic microeconomic theory of the firm.",Journal of Management Information Systems,13,1996,2,29,57
985, William H. Money,Applying Group Support Systems to Classroom Settings: A Social Cognitive Learning Theory Explanation, group support systems;  MIS education;  social cognitive learning theory,"This paper utilizes social cognitive learning theory to guide and explain the development of prototype educational experiences for information systems concepts. The paper applies the major framework of social cognitive learning theory, its recognition of the reciprocity and interaction among cognitive, behavioral, environmental, and physiological/affective influences. In this learning process, it is argued that people learn from a variety of experiences and from the observation of the actions of others. This paper uses social cognitive learning theory to explain the structure for an MIS educational experience, and applies a group support system (GSS) in a course module with specific learning objectives. Finally, the paper describes an MIS classroom experience (a module covering systems analysis [SA] methodology) which has been used to apply the GSS to prototype MIS problems (working scenarios with questions and organizational data).",Journal of Management Information Systems,12,1995,3,65,80
986, Ali R. Montazemi;  David A. Cameron;  Kalyan Moy Gupta,An Empirical Study of Factors Affecting Software Package Selection, human information processing;  information center;  software selection criteria,"Evidence suggests that information centers (ICs) have significantly more interest in evaluating software packages and assisting in the selection of software packages than end users have. However, the selection of software packages by the information center product specialists (ICPSs) can compromise their usage. Ease of use and usefulness are believed to be fundamental predictors of usage. The question of whether ICPSs are able to correctly evaluate ease of use and usefulness of software packages for end users is posed. An insight into this issue could enhance end-user computing (EUC) policy and lead to a more effective partnership between end users and information systems (IS) professionals. A search for this insight provided the motivation for our empirical investigation of the perception of ICPSs and end users in assessing the ease of use and usefulness of thirty different software packages. Our investigation was performed in an organization with an IC that had evolved to the formalization stage. The findings show that the perceptions of the end users and ICPSs were similar in terms of assessing the ease of use of software packages. However, end users found the software packages less useful than did IC product specialists. Therefore, in sophisticated environments, end users should be empowered to develop their own user groups and suggest to IC personnel which useful software packages to acquire. Otherwise, selection of software packages without end-user participation could have an adverse effect on their usage.",Journal of Management Information Systems,13,1996,1,89,105
987, Nabil R. Adam;  Douglas H. Jones,Security of Statistical Databases with an Output Perturbation Technique, database management;  statistical databases;  database security,"A statistical database aims at providing users with statistics about the population while not compromising the confidentiality of the individuals whose data are included in the database. Threats to the database security range from issuing cleverly designed sequences of queries to using such sophisticated methods as regression analysis. In order to overcome this security problem, several solution methods have been suggested in the literature. These methods can be classified under four general approaches: conceptual modeling; query restriction; data perturbation; and output perturbation. These methods, however, can be easily compromised, or require excessive CPU and memory, or result in biased response to users. The purpose of this paper is to propose a new type of output perturbation method that may be very difficult to compromise and provides unbiased response. The method is based on recoiling of the data, the jackknifing concept, and an extension of the random sample queries method suggested by Denning [5]. A comparison of the proposed method and the modified random sample queries method (which is considered a viable alternative for security of statistical databases) is presented.",Journal of Management Information Systems,6,1989,1,101,110
988, Jack J. Baroudi;  Magid Igbaria,An Examination of Gender Effects on Career Success of Information Systems Employees, career success;  gender differences;  human capital;  IS career,"We examine the differences and similarities in the human capital variables of male and female information systems (IS) workers and the affect these differences have on job outcomes. The human capital variables studied include age, education, organizational and job tenure, and number of years in the IS occupation. We found that even when controlling for the differences in human capital variables, women in IS still tend to be employed at lower levels of the organization, make less money, and have greater intentions to leave the organization.",Journal of Management Information Systems,11,1994,3,181,201
989, Ali R. Montazemi;  John J. Siam;  Akbar Esfahanipour,Effect of Network Relations on the Adoption of Electronic Trading Systems, alternative trading systems;  arm’s-length relationships;  electronic trading;  embedded relationships;  fixed-income market;  information flow;  network ties,"Information systems can serve as intermediaries between the buyers and the sellers in a market, creating an ""electronic marketplace"" that lowers the buyers' cost to acquire information about sellers' prices and product offerings. Although electronic trading systems provide potential to create an efficient market structure, we witness that a $45 trillion fixed-income market still makes little use of these systems. Low penetration of electronic trading systems in the marketplace is at odds with the existing information technology research doctrine. The reason is that the creation of efficient market structure through an electronic marketplace is based on macro-level interfirm relationships that do not take into account the recurrent micro-level, interpersonal interaction among the market actors. Our empirical investigation, based on face-to-face interviews with 90 fixed-income senior managers and traders from 25 financial institutions, provides a unique insight into the social capital based on social networks of interpersonal relationships in the fixed-income market. Our research findings show that the market structure of embedded interpersonal ties enables participants to take advantage of information asymmetry for profit taking. As a result, imposition of solely electronic trading systems on the present fixed-income market structure is at odds with the present interfirm market norms and business processes enacted for large transactions among market makers and institutional investors.",Journal of Management Information Systems,25,2008,1,233,266
990, A. R. Montazemi;  S. Wang,The Effects of Modes of Information Presentation on Decision-Making: A Review and Meta-Analysis, information media;  graphics in information systems,"This study investigates the impact of modes of information presentation on information dimensions. Twenty-four published studies were reviewed. The results of sixteen of these were cumulated by application of meta-analysis technique. The ensuing results demonstrate that the bar presentation format is slightly better than the tabular one in terms of information precision; however, the face chart is superior to the tabular format with respect to relevancy, and the multicolor presentation is more relevant than the monocolor. In addition, two factors of influence (moderators) were verified. First, personality, which is classified as field-dependent and field-independent, acts as a moderator between color and information relevancy. Second, when comparing line graphical presentations with tabular, task environment has a moderate effect on both timesaving and precision.",Journal of Management Information Systems,5,1988,3,101,127
991, Ramiro Montealegre,A Temporal Model of Institutional Interventions for Information Technology Adoption in Less-Developed Countries, adoption of information technology;  global information technology infrastructure;  information technology in less-developed countries;  network development and implementation,"This empirical study of Internet adoption in four Latin American countries delineates a gradual but progressive course of institutional actions and suggests a temporal ordering of the actions--including knowledge building, subsidy, knowledge deployment, innovation directive, and standard setting. The temporal model reveals how each country sustained the momentum of its evolving strategy, grew in competence to forge technological solutions, and gained access to the Internet. The four countries' original goals changed, but through experience they perceived new opportunities and established evolving Internet strategies that form the bases of new technological services provided at the national level.",Journal of Management Information Systems,16,1999,1,207,232
992, Mitzi M. Montoya;  Anne P. Massey;  Vijay Khatri,Connecting IT Services Operations to Services Marketing Practices, IT services;  mandated systems;  relational trust;  service delivery chain;  service mechanisms,"The importance of building relationships with customers and trust in the services provider is well documented in the marketing literature. Conceptually, we extend this logic to the context of internal information technology (IT) services operations through the notion of the service delivery chain. The purpose of the study is to examine how key service mechanisms in operational IT implementation are related to employee perceptions of actual system benefits and trust in the IT services provider. We report on a study with 380 employees of 14 bank affiliates that were recently acquired by a bank holding company. The focus of the study is on postimplementation trust rather than preimplementation or initial trust, and the service provider is viewed as the object of trust rather than the technology. Our findings suggest that training, trial, and social influence are key service mechanisms an IT services provider can use to stimulate trust in the IT services provider and the realization of system benefits.",Journal of Management Information Systems,26,2010,4,65,85
993, Janette W. Moody;  J. Ellis Blanton;  Paul H. Cheney,A Theoretically Grounded Approach to Assist Memory Recall During Information Requirements Determination, cognitive interview;  communication tools;  information requirements determination;  information systems development tools;  interviewing,"The interview has long been a part of the system professional's repertoire of elicitation techniques, used extensively in both requirements analysis and knowledge acquisition. Unfortunately, although interviewing is a widely recommended elicitation technique, the literature offers little in the way of theoretically grounded support or advice on exactly how the interview should be conducted and what format should be used. This paper reports the findings of a study that compared the efficiency and effectiveness of the cognitive interview with the standard information requirements interview in an experiment using reference librarians as interviewees. The cognitive interview was found to be both more effective and more efficient than standard interviewing techniques in eliciting episodic knowledge from reference librarians. Use of the cognitive interview resulted in a richer recall, in terms of both breadth and depth, of details relevant to the task domain.",Journal of Management Information Systems,15,1998,1,79,98
994, Benjamin Mueller;  Goetz Viering;  Christine Legner;  Gerold Riempp,Understanding the Economic Potential of Service-Oriented Architecture, business benefits;  economic potential;  IS value;  service-oriented architecture;  services science;  services,"Service-oriented architecture (SOA) is one of the most discussed topics in the information systems (IS) discipline. While most computer scientists agree that the service-oriented paradigm has clear benefits in terms of technical quality attributes, it has been difficult to justify SOA economically. The few studies that have investigated the strategic and economic aspects of SOA are mostly exploratory and lack a more comprehensive framework for understanding the sources of its economic potential. Based on IS and SOA literature, our work goes further in suggesting the SOA economic potential model, which describes the causal relationships between the SOA's style characteristics and value it can provide on the business side. Using this model, we investigate 164 SOA cases published between 2003 and 2008 to explore the economic rationale for adopting SOA. Our findings suggest that SOA's business benefits are currently mainly driven by operational and information technology infrastructural improvements. However, enterprises also realize strategic benefits from SOA; for example, by electronically integrating with their business partners by means of SOA. We use the results of our study to derive propositions and suggest a research model for future studies on SOA's economic potential.",Journal of Management Information Systems,26,2010,4,145,180
